Game,DQN_Random,Human,Random,Human_Top
alien,211.9,7127.7,227.75,251916
amidar,2.34,1719.5,5.77,306924
assault,283.5,742,222.39,?
asterix,268.5,8503.3,210,335500
asteroids,1008.6,47388.7,719.1,10506650
atlantis,22188,29028.1,12850,8036100
bank heist,14,753.1,14.2,199978
battle zone,3000,37187.5,2360,863000
beam rider,414.32,16926.5,363.88,999999
berzerk,165.6,2630.4,123.65,1111200
bowling,23.48,160.7,23.11,?
boxing,-0.69,12.1,0.05,?
breakout,1.5,30.5,1.72,?
centipede,2064.77,12017,2090.87,1888253
chopper command,794,7387.8,811,?
crazy climber,8043,35829.4,10780.5,447000
defender,4142,18688.9,2874.5,7111150
demon attack,162.25,1971,152.07,1556345
double dunk,-18.14,-16.4,-18.55,
enduro,0.01,860.5,0,
fishing derby,-93.06,-38.7,-91.71,
freeway,0.01,29.6,0.01,
frostbite,73.2,4334.7,65.2,
gopher,364,2412.5,257.6,
gravitar,226.5,3351.4,173,
hero,551,30826.4,1026.97,
ice hockey,-10.03,0.9,-11.15,
James bond,27,302.8,29,
kangaroo,54,3035,52,
krull,1566.59,2665.5,1598.05,
kung fu master,451,22736.3,258.5,
montezuma revenge,0,4753.3,0,
ms pacman,242.6,6951.6,307.3,
name this game,2404.9,8049,2292.35,
phoenix,757.2,7242.6,761.4,
pitfall,-265,6463.7,-229.44,
pong,-20.34,14.6,-20.71,
private eye,34.49,69571.3,24.94,
qbert,188.75,13455,163.88,
riverraid,1575.4,17118,1338.5,
road runner,7,7845,11.5,
robotank,2.24,11.9,2.16,
seaquest,88.2,42054.7,68.4,
skiing,-16267.91,-4336.9,-17098.09,
solaris,2346.6,12326.7,1236.3,
space invaders,136.15,1668.7,148.3,
star gunner,631,10250,664,
tennis,-23.92,-8.3,-23.84,
time pilot,3682,5229.2,3568,
tutankham,15.56,167.6,11.43,
up n down,604.7,11693.2,533.4,
venture,0,1187.5,0,
video pinball,15720.98,17667.9,0,
wizard of wor,534,4756.5,563.5,
yars revenge,3271.42,54576.9,3092.91,
zaxxon,8,9173.3,32.5,
surround,-9.99,6.53,-9.99,
